Date,CSI500,Shanghai ,CSI300,HSI,STI,TWSE,MSCI World,S&P500,N225,LSE,ASX,Custom
2016-11-04,0.3694,0.678,0.4206,-1.36,-0.9751,-2.5655,-1.82,-1.9389,-3.1012,-1.77,-2.1966,-3.087442118
2016-11-11,1.1053,2.263,1.8796,-0.4926,0.9251,-1.2173,2.22,3.8016,2.7768,4.19,3.3362,-0.215684044
2016-11-18,-0.8465,-0.0997,0.0069,-0.8294,0.8545,0.5697,0.02,0.8062,3.4108,0.55,0.1266,0.290015636
2016-11-25,0.4106,2.1636,3.0386,1.6973,0.7285,1.6681,1.38,1.4414,2.3031,-0.66,0.8641,1.319197043
2016-12-02,-1.533,-0.5547,0.2174,-0.6981,2.0998,0.3321,-0.69,-0.9669,0.2441,-3.66,1.5671,-0.546439597
2016-12-09,-0.342,-0.3379,-0.999,0.8693,1.2592,2.2111,2.99,3.0831,3.095,2.67,-0.432,2.587353293
2016-12-16,-3.6488,-3.3995,-4.2267,-3.2522,-0.618,-0.7016,-0.31,-0.0646,2.1308,0.31,0.124,-1.070118598
2016-12-23,-0.6258,-0.4107,-1.1486,-2.0253,-2.2741,-2.6605,0.25,0.2533,0.1367,-0.1,1.3413,-1.450550917
2016-12-30,-0.2924,-0.2095,0.075,1.9736,0.3382,1.9261,-0.45,-1.1026,-1.6126,2.84,1.2828,1.073113496
2017-01-06,1.9927,1.633,1.1355,2.2838,2.842,1.283,1.82,1.704,1.7786,-0.11,0.9851,2.619463154
2017-01-13,-2.1843,-1.3174,-0.8291,1.9303,2.1076,0.0705,0.29,-0.1028,-0.8587,-0.54,-0.9556,1.07083877
2017-01-20,-0.9551,0.3333,1.0535,-0.2244,-0.4625,-0.5051,-0.31,-0.1464,-0.7744,5.65,-1.5276,-0.575439758
2017-01-27,1.5705,1.1536,0.9858,2.0749,1.7857,1.2484,1.16,1.0294,1.7217,3.09,1.5513,3.366601293
2017-02-03,-0.1297,-0.6013,-0.6927,-0.9913,-0.7475,0.0805,0.12,0.119,-2.8211,2.69,0.7638,-1.212061826
